airline_name,iata_designator,three_digit_code,icao_code,country_territory,iata_member_id,official_site,site_status,site_source,site_checked_at,site_notes
ABX Air,GB,832,ABX,United States,562,https://www.abxair.com/,resolved,iata_member_page,2026-05-25T20:53:12+00:00,https://www.iata.org/en/about/members/airline-list/abx-air/562/
Aegean Airlines,A3,390,AEE,Greece,393,http://www.aegeanair.com/,resolved,iata_member_page,2026-05-25T20:53:12+00:00,https://www.iata.org/en/about/members/airline-list/aegean-airlines/393/
Aer Lingus,EI,053,EIN,Ireland,1,http://www.aerlingus.com/,resolved,iata_member_page,2026-05-25T20:53:13+00:00,https://www.iata.org/en/about/members/airline-list/aer-lingus/1/
Aero Mongolia,M0,970,MNG,Mongolia,665,https://www.aeromongolia.com/en,resolved,iata_member_page,2026-05-25T20:53:14+00:00,https://www.iata.org/en/about/members/airline-list/aero-mongolia/665/
Aero Republica,P5,,RPB,Colombia,400,http://www.aerorepublica.com/,resolved,iata_member_page,2026-05-25T20:53:15+00:00,https://www.iata.org/en/about/members/airline-list/aero-republica/400/
Aeroflot,SU,555,AFL,Russian Federation,42,http://www.aeroflot.ru/,resolved,iata_member_page,2026-05-25T20:53:15+00:00,https://www.iata.org/en/about/members/airline-list/aeroflot/42/
Aeroitalia,XZ,419,AEZ,Italy,611,https://www.aeroitalia.com/en,resolved,iata_member_page,2026-05-25T20:53:16+00:00,https://www.iata.org/en/about/members/airline-list/aeroitalia/611/
Aerolineas Argentinas,AR,044,ARG,Argentina,13,http://www.aerolineas.com.ar/,resolved,iata_member_page,2026-05-25T20:53:16+00:00,https://www.iata.org/en/about/members/airline-list/aerolineas-argentinas/13/
Aeromexico,AM,139,AMX,Mexico,9,http://www.aeromexico.com/,resolved,iata_member_page,2026-05-25T20:53:17+00:00,https://www.iata.org/en/about/members/airline-list/aeromexico/9/
Africa World Airlines,AW,394,AFW,Ghana,512,http://www.flyafricaworld.com/,resolved,iata_member_page,2026-05-25T20:53:18+00:00,https://www.iata.org/en/about/members/airline-list/africa-world-airlines/512/
Air Algérie,AH,124,DAH,Algeria,20,http://www.airalgerie.dz/,resolved,iata_member_page,2026-05-25T20:53:19+00:00,https://www.iata.org/en/about/members/airline-list/air-alg-rie/20/
Air Arabia,G9,514,ABY,United Arab Emirates,429,http://www.airarabia.com/,resolved,iata_member_page,2026-05-25T20:53:19+00:00,https://www.iata.org/en/about/members/airline-list/air-arabia/429/
Air Astana,KC,465,KZR,Kazakhstan,296,http://www.airastana.com/,resolved,iata_member_page,2026-05-25T20:53:19+00:00,https://www.iata.org/en/about/members/airline-list/air-astana/296/
